CR/PR,SD,POD,,CR/PR,SD/POD,,CR/PR,SD,POD,,CR/PR,SD/POD,,CR/PR,SD,POD,,CR/PR,SD/POD
0.001419235,0.991380996,0.007199769,,0.001419235,0.998580765,,0.067053138,0.908101042,0.02484582,,0.067053138,0.932946862,,0.100452835,0.848711422,0.050835744,,0.100452835,0.899547165
0.93885081,0.006628652,0.054520538,,0.93885081,0.06114919,,0.031326957,0.140747459,0.827925584,,0.031326957,0.968673043,,0.796582262,0.12071509,0.082702648,,0.796582262,0.203417738
0.058810078,0.013089549,0.928100373,,0.058810078,0.941189922,,0.035054546,0.002706183,0.962239271,,0.035054546,0.964945454,,0.102419104,0.146831272,0.750749624,,0.102419104,0.897580896
0.734591864,0.013558758,2.52E-01,,0.734591864,0.265408136,,0.778114935,0.063711694,0.158173372,,0.778114935,0.221885065,,0.773688653,0.104881162,0.121430185,,0.773688653,0.226311347
0.975021969,0.00654064,0.018437391,,0.975021969,0.024978031,,0.706704704,0.093952413,0.199342883,,0.706704704,0.293295296,,0.829395411,0.048944525,0.121660064,,0.829395411,0.170604589
0.149820576,0.085670108,0.764509317,,0.149820576,0.850179424,,0.01481256,0.235128517,0.750058923,,0.01481256,0.98518744,,0.012102669,0.980255304,0.007642028,,0.012102669,0.987897331
0.993392214,2.67E-05,0.006581131,,0.993392214,0.006607786,,0.971538642,0.001701974,0.026759384,,0.971538642,0.028461358,,0.764297573,0.233994613,0.001707814,,0.764297573,0.235702427
0.063737925,0.898673292,0.037588783,,0.063737925,0.936262075,,0.012077814,0.942226517,0.045695669,,0.012077814,0.987922186,,0.186978456,0.758169246,0.054852298,,0.186978456,0.813021544
0.979809813,0.002598928,0.017591259,,0.979809813,0.020190187,,0.253216218,0.680953531,0.065830251,,0.253216218,0.746783782,,0.854520331,0.079394654,0.066085015,,0.854520331,0.145479669
0.32994687,0.634674542,0.035378588,,0.32994687,0.67005313,,0.016989823,0.785240795,0.197769382,,0.016989823,0.983010177,,0.114354222,0.832485459,0.053160319,,0.114354222,0.885645778
0.007114593,0.074398681,9.18E-01,,0.007114593,0.992885407,,0.021501053,0.465307375,0.513191573,,0.021501053,0.978498947,,0.077436228,0.046420769,0.876143003,,0.077436228,0.922563772
0.998729193,0.00037116,0.000899647,,0.998729193,0.001270807,,0.602757502,0.278687195,0.118555303,,0.602757502,0.397242498,,0.110754856,0.044827393,0.844417751,,0.110754856,0.889245144
0.141904446,0.844006634,0.014088919,,0.141904446,0.858095554,,0.088188188,0.764242803,0.147569008,,0.088188188,0.911811812,,0.113913822,0.875233752,0.010852426,,0.113913822,0.886086178
0.758510053,0.133694643,0.107795304,,0.758510053,0.241489947,,0.765076088,0.186261801,0.048662112,,0.765076088,0.234923912,,0.866160747,0.090382096,0.043457157,,0.866160747,0.133839253
0.968409045,0.016223687,0.015367268,,0.968409045,0.031590955,,0.132144591,0.105302029,0.76255338,,0.132144591,0.867855409,,0.007489167,0.95002859,0.042482243,,0.007489167,0.992510833
0.14535922,0.808823353,0.045817427,,0.14535922,0.85464078,,0.015026414,0.904726874,0.080246712,,0.015026414,0.984973586,,0.168725923,0.8264174,0.004856677,,0.168725923,0.831274077
0.035167895,0.916658225,0.04817388,,0.035167895,0.964832105,,0.018486361,0.971301974,0.010211665,,0.018486361,0.981513639,,0.022965661,0.962406154,0.014628185,,0.022965661,0.977034339
0.13388504,0.677409262,0.188705698,,0.13388504,0.86611496,,0.069538669,0.789089514,0.141371817,,0.069538669,0.930461331,,0.180828303,0.029524408,0.789647289,,0.180828303,0.819171697
0.197667713,0.089916649,0.712415638,,0.197667713,0.802332287,,0.937611231,0.037158484,0.025230285,,0.937611231,0.062388769,,0.015059938,0.214350413,0.770589649,,0.015059938,0.984940062
0.104533588,0.157464029,0.738002384,,0.104533588,0.895466412,,0.014398295,0.940299619,0.045302085,,0.014398295,0.985601705,,0.063985516,0.100511883,0.835502601,,0.063985516,0.936014484
0.905580545,0.092847144,0.001572311,,0.905580545,0.094419455,,0.214486337,0.774395464,0.011118199,,0.214486337,0.785513663,,0.841077244,0.037760533,0.121162222,,0.841077244,0.158922756
0.151941322,0.041286686,0.806771991,,0.151941322,0.848058678,,0.000645755,0.000655102,0.998699143,,0.000645755,0.999354245,,0.097071821,0.002925686,0.900002493,,0.097071821,0.902928179
0.026716654,0.901425882,0.071857465,,0.026716654,0.973283346,,0.169223303,0.035898126,0.794878571,,0.169223303,0.830776697,,0.022043691,0.789804248,0.18815206,,0.022043691,0.977956309
0.259745727,0.130241609,0.610012664,,0.259745727,0.740254273,,0.031191573,0.158012988,0.810795439,,0.031191573,0.968808427,,0.070983469,0.125764756,0.803251775,,0.070983469,0.929016531
0.861442257,0.041754576,0.096803167,,0.861442257,0.138557743,,0.996698432,0.002620178,0.00068139,,0.996698432,0.003301568,,0.576785101,0.31631587,0.10689903,,0.576785101,0.423214899
0.080660139,0.863787642,0.055552219,,0.080660139,0.919339861,,0.06009362,0.160455404,0.779450976,,0.06009362,0.93990638,,0.075461811,0.786712022,0.137826167,,0.075461811,0.924538189
0.000833006,0.002397792,0.996769203,,0.000833006,0.999166994,,0.021835239,0.066304191,0.91186057,,0.021835239,0.978164761,,0.050818751,0.603905657,0.345275592,,0.050818751,0.949181249
0.90157678,0.005590383,0.092832837,,0.90157678,0.09842322,,0.005924747,0.990755904,0.003319349,,0.005924747,0.994075253,,0.952715774,0.035554127,0.011730099,,0.952715774,0.047284226
0.091629258,0.021779425,0.886591317,,0.091629258,0.908370742,,0.0408755,0.136509299,0.822615201,,0.0408755,0.9591245,,0.005193915,0.04802286,0.946783225,,0.005193915,0.994806085
0.029335827,0.092161219,0.878502954,,0.029335827,0.970664173,,0.066874851,0.175214643,0.757910507,,0.066874851,0.933125149,,0.035623881,0.761530526,0.202845593,,0.035623881,0.964376119
0.015796588,0.001169685,0.983033727,,0.015796588,0.984203412,,0.016066387,0.010295035,0.973638578,,0.016066387,0.983933613,,0.049613896,0.005712686,0.944673418,,0.049613896,0.950386104
0.03319446,0.027860521,0.938945019,,0.03319446,0.96680554,,0.250102519,0.000465188,0.749432293,,0.250102519,0.749897481,,0.026977904,0.183289687,0.789732409,,0.026977904,0.973022096
0.912202118,0.072332079,0.015465803,,0.912202118,0.087797882,,0.859542706,0.032186702,0.108270593,,0.859542706,0.140457294,,0.84951355,0.130697525,0.019788925,,0.84951355,0.15048645
0.126075053,0.8691323,0.004792646,,0.126075053,0.873924947,,0.084830883,0.034828059,0.880341058,,0.084830883,0.915169117,,0.023644801,0.756141929,0.22021327,,0.023644801,0.976355199
0.110244098,0.019866626,0.869889275,,0.110244098,0.889755902,,0.13369707,0.035324384,8.31E-01,,0.13369707,0.86630293,,0.007353883,0.023895756,0.96875036,,0.007353883,0.992646117
0.037037603,0.807409613,0.155552784,,0.037037603,0.962962397,,0.043600047,0.762469777,0.193930177,,0.043600047,0.956399953,,0.052481887,0.50173737,0.445780744,,0.052481887,0.947518113
0.01176578,0.014175183,0.974059037,,0.01176578,0.98823422,,0.076660349,0.218137588,0.705202064,,0.076660349,0.923339651,,0.134270448,0.009760517,0.855969036,,0.134270448,0.865729552
0.148046042,0.001694164,0.850259794,,0.148046042,0.851953958,,0.014921544,0.860100477,0.124977979,,0.014921544,0.985078456,,0.06736824,0.08877533,0.84385643,,0.06736824,0.93263176
0.15865536,0.019655628,0.821689012,,0.15865536,0.84134464,,0.138311285,0.013991245,0.84769747,,0.138311285,0.861688715,,0.028149383,0.151947251,0.819903365,,0.028149383,0.971850617
0.052206082,0.855696232,0.092097687,,0.052206082,0.947793918,,0.034418375,0.953275032,0.012306593,,0.034418375,0.965581625,,0.06168822,0.863663092,0.074648688,,0.06168822,0.93831178
0.029802003,0.891906026,0.078291972,,0.029802003,0.970197997,,0.822063364,0.091253699,0.086682937,,0.822063364,0.177936636,,0.113486163,0.857350856,0.029162981,,0.113486163,0.886513837
0.053941847,0.028688444,0.917369709,,0.053941847,0.946058153,,0.003397083,0.197925999,0.798676918,,0.003397083,0.996602917,,0.039660595,0.007828512,0.952510894,,0.039660595,0.960339405
0.059354111,0.181739962,0.758905927,,0.059354111,0.940645889,,0.000877911,0.79936759,0.199754499,,0.000877911,0.999122089,,0.000748706,0.000214877,0.999036417,,0.000748706,0.999251294
0.000864555,0.161754914,0.83738053,,0.000864555,0.999135445,,0.003679471,0.005347237,0.990973292,,0.003679471,0.996320529,,0.071848405,0.098634515,0.82951708,,0.071848405,0.928151595
0.605059353,0.017584745,0.377355902,,0.605059353,0.394940647,,0.797827289,0.131235905,0.070936806,,0.797827289,0.202172711,,0.024263648,0.003729355,0.972006997,,0.024263648,0.975736352
0.019596173,0.965783085,0.014620742,,0.019596173,0.980403827,,0.006271133,0.967566434,0.026162433,,0.006271133,0.993728867,,0.024228654,0.099181313,0.876590033,,0.024228654,0.975771346
0.169635964,0.743808739,0.086555298,,0.169635964,0.830364036,,0.148194131,0.782679469,0.0691264,,0.148194131,0.851805869,,0.096907366,0.890277913,0.012814721,,0.096907366,0.903092634
0.17542206,0.007435991,0.817141949,,0.17542206,0.82457794,,0.091519723,0.021793666,0.886686611,,0.091519723,0.908480277,,0.017372988,0.000115301,0.982511711,,0.017372988,0.982627012
0.71829254,0.206038874,0.075668586,,0.71829254,0.28170746,,0.005946014,0.057291127,0.936762859,,0.005946014,0.994053986,,0.870061505,0.001140389,0.128798106,,0.870061505,0.129938495
0.055698676,0.835846117,0.108455207,,0.055698676,0.944301324,,0.042205877,0.950989744,0.006804379,,0.042205877,0.957794123,,0.098817648,0.797257202,0.10392515,,0.098817648,0.901182352
0.047262293,0.169503739,0.783233968,,0.047262293,0.952737707,,0.274685333,0.026628524,0.698686143,,0.274685333,0.725314667,,0.108977971,0.221463209,0.66955882,,0.108977971,0.891022029
0.39290461,0.072925432,0.534169959,,0.39290461,0.60709539,,0.001113137,0.02230106,0.976585802,,0.001113137,0.998886863,,0.105492644,0.114792938,0.779714418,,0.105492644,0.894507356
0.253039806,0.13107985,0.615880344,,0.253039806,0.746960194,,0.076631968,0.08408534,0.839282692,,0.076631968,0.923368032,,0.072169891,0.736470583,0.191359527,,0.072169891,0.927830109
0.036764196,0.928675823,0.034559981,,0.036764196,0.963235804,,0.10012854,0.785618691,0.114252769,,0.10012854,0.89987146,,0.056053991,0.915072244,0.028873766,,0.056053991,0.943946009
0.05782713,0.003987374,0.938185496,,0.05782713,0.94217287,,0.939566192,0.03779257,0.022641238,,0.939566192,0.060433808,,0.015044542,0.102067266,0.882888192,,0.015044542,0.984955458
0.128092236,0.352756367,0.519151397,,0.128092236,0.871907764,,0.100285408,0.097904497,0.801810095,,0.100285408,0.899714592,,0.082659234,0.122390156,0.79495061,,0.082659234,0.917340766
0.050655894,0.930964907,0.018379198,,0.050655894,0.949344106,,0.02132611,0.827746376,0.150927514,,0.02132611,0.97867389,,0.078449789,0.791135326,0.130414885,,0.078449789,0.921550211
0.091206399,0.042105882,0.866687719,,0.091206399,0.908793601,,0.143454155,0.053584165,0.80296168,,0.143454155,0.856545845,,0.081268342,0.034819179,0.883912479,,0.081268342,0.918731658
0.2599573,0.525655611,0.214387089,,0.2599573,0.7400427,,0.052361041,0.946227172,0.001411787,,0.052361041,0.947638959,,0.549065455,0.35759831,0.093336235,,0.549065455,0.450934545
0.016799831,0.979839745,0.003360424,,0.016799831,0.983200169,,0.132660864,0.764664726,0.10267441,,0.132660864,0.867339136,,0.018875584,0.020909955,0.96021446,,0.018875584,0.981124416
0.072990697,0.024620443,0.90238886,,0.072990697,0.927009303,,0.152448866,0.091099971,0.756451163,,0.152448866,0.847551134,,0.051749612,0.076168247,0.872082142,,0.051749612,0.948250388
0.126666899,0.764293488,0.109039613,,0.126666899,0.873333101,,0.023328192,0.20121926,0.775452548,,0.023328192,0.976671808,,0.023747741,5.62E-01,0.414139518,,0.023747741,0.976252259
0.148897105,0.000211036,0.850891859,,0.148897105,0.851102895,,0.026736352,0.024490572,0.948773077,,0.026736352,0.973263648,,0.240924412,0.003864188,0.7552114,,0.240924412,0.759075588
0.063579929,0.620073191,0.31634688,,0.063579929,0.936420071,,0.005941949,0.951414926,0.042643125,,0.005941949,0.994058051,,0.210415456,0.555887669,0.233696875,,0.210415456,0.789584544
0.875838657,0.03492208,0.089239263,,0.875838657,0.124161343,,0.847281381,0.021464507,0.131254113,,0.847281381,0.152718619,,0.76483544,0.038326331,0.196838229,,0.76483544,0.23516456
0.025125004,0.802866762,0.172008234,,0.025125004,0.974874996,,0.005238665,0.026883669,0.967877666,,0.005238665,0.994761335,,0.008998998,0.116297232,0.87470377,,0.008998998,0.991001002
0.080229637,0.094441648,0.825328716,,0.080229637,0.919770363,,0.047410182,0.101351905,0.851237914,,0.047410182,0.952589818,,0.063366744,0.166262,0.770371256,,0.063366744,0.936633256
0.024217106,0.044995571,0.930787323,,0.024217106,0.975782894,,0.010538395,0.058006668,0.931454936,,0.010538395,0.989461605,,0.031157624,0.068235455,0.900606922,,0.031157624,0.968842376
0.045932128,1.03E-01,0.850770855,,0.045932128,0.954067872,,0.041848057,0.029971447,0.928180496,,0.041848057,0.958151943,,0.086720842,0.146579536,0.766699621,,0.086720842,0.913279158
,,,,,,,,,,,,,,,,,,,
